DATE,CITY,FLOOD
2021-12-20,Bogor,True
2021-12-16,Bogor,True
2021-12-10,Bogor,True
2021-12-10,Bandung,True
2021-12-09,Bogor,True
2021-12-08,Bogor,True
2021-12-06,Pandeglang,True
2021-12-02,Bandung,True
2021-11-27,Bandung,True
2021-11-27,Bandung,True
2021-11-26,Bandung Barat,True
2021-11-26,Bandung Barat,True
2021-11-25,Bandung,True
2021-11-23,Pandeglang,True
2021-11-22,Bandung,True
2021-11-19,Bandung,True
2021-11-17,Bandung,True
2021-11-17,Bandung,True
2021-11-16,Bandung,True
2021-11-15,Bandung,True
2021-11-15,Bandung,True
2021-11-13,Bandung Barat,True
2021-11-12,Kota Adm. Jakarta Selatan,True
2021-11-10,Bandung,True
2021-11-08,Kota Adm. Jakarta Timur,True
2021-11-07,Bogor,True
2021-11-07,Bogor,True
2021-11-07,Kota Bogor,True
2021-11-07,Bandung,True
2021-11-07,Kota Adm. Jakarta Selatan,True
2021-11-07,Kota Adm. Jakarta Timur,True
2021-11-07,Pandeglang,True
2021-11-06,Bandung Barat,True
2021-11-06,Bandung Barat,True
2021-11-04,Kota Semarang,True
2021-11-02,Bandung,True
2021-11-02,Bogor,True
2021-11-02,Bandung,True
2021-11-02,Kota Bandung,True
2021-11-01,Kota Adm. Jakarta Timur,True
2021-10-30,Bogor,True
2021-10-30,Bandung,True
2021-10-26,Bogor,True
2021-10-26,Bogor,True
2021-10-26,Kota Bogor,True
2021-10-19,Bogor,True
2021-10-19,Bogor,True
2021-10-19,Bogor,True
2021-10-19,Bogor,True
2021-10-19,Bogor,True
2021-10-19,Bandung,True
2021-10-19,Bogor,True
2021-10-19,Bogor,True
2021-10-19,Bandung,True
2021-10-19,Bandung Barat,True
2021-10-19,Kota Bogor,True
2021-10-19,Kota Bogor,True
2021-10-19,Kota Bogor,True
2021-10-17,Bandung Barat,True
2021-09-30,Kota Bogor,True
2021-09-30,Bogor,True
2021-09-14,Pandeglang,True
2021-09-06,Bogor,True
2021-08-30,Bogor,True
2021-08-25,Bogor,True
2021-08-25,Bogor,True
2021-08-21,Bogor,True
2021-08-21,Bogor,True
2021-08-11,Bogor,True
2021-08-09,Bogor,True
2021-08-05,Kota Adm. Jakarta Selatan,True
2021-08-01,Bogor,True
2021-08-01,Bogor,True
2021-08-01,Bogor,True
2021-08-01,Bogor,True
2021-07-31,Bogor,True
2021-06-24,Bogor,True
2021-06-23,Kota Adm. Jakarta Timur,True
2021-06-20,Bogor,True
2021-06-20,Bandung,True
2021-06-19,Bandung,True
2021-06-17,Bandung,True
2021-06-11,Bandung,True
2021-06-08,Bandung,True
2021-06-01,Bandung,True
2021-05-29,Kota Semarang,True
2021-05-25,Bandung,True
2021-05-21,Kota Adm. Jakarta Selatan,True
2021-05-21,Bogor,True
2021-05-20,Bogor,True
2021-05-20,Bogor,True
2021-05-19,Bogor,True
2021-05-19,Bogor,True
2021-05-19,Bogor,True
2021-05-18,Kota Adm. Jakarta Barat,True
2021-05-17,Bogor,True
2021-05-17,Kota Adm. Jakarta Timur,True
2021-05-16,Bogor,True
2021-05-16,Kota Bogor,True
2021-05-16,Bogor,True
2021-05-08,Kota Bogor,True
2021-05-08,Bogor,True
2021-05-08,Kota Bogor,True
2021-05-06,Bogor,True
2021-05-06,Bogor,True
2021-04-30,Bogor,True
2021-04-28,Bogor,True
2021-04-28,Kota Adm. Jakarta Timur,True
2021-04-27,Bogor,True
2021-04-27,Bogor,True
2021-04-27,Bogor,True
2021-04-19,Bogor,True
2021-04-17,Bogor,True
2021-04-17,Bogor,True
2021-04-16,Bogor,True
2021-04-15,Bandung,True
2021-04-14,Bandung,True
2021-04-14,Bandung,True
2021-04-13,Bandung,True
2021-04-11,Bandung Barat,True
2021-04-01,Semarang,True
2021-04-01,Bandung,True
2021-04-01,Bandung,True
2021-03-31,Bogor,True
2021-03-30,Bandung,True
2021-03-27,Bogor,True
2021-03-27,Bandung,True
2021-03-27,Kota Bandung,True
2021-03-25,Bandung,True
2021-03-24,Bandung,True
2021-03-04,Bandung,True
2021-03-03,Bogor,True
2021-02-26,Bogor,True
2021-02-23,Kota Semarang,True
2021-02-20,Bogor,True
2021-02-20,Kota Adm. Jakarta Selatan,True
2021-02-20,Kota Adm. Jakarta Timur,True
2021-02-20,Kota Adm. Jakarta Barat,True
2021-02-20,Bogor,True
2021-02-20,Kota Adm. Jakarta Timur,True
2021-02-19,Kota Adm. Jakarta Timur,True
2021-02-19,Bogor,True
2021-02-19,Bogor,True
2021-02-19,Kota Adm. Jakarta Selatan,True
2021-02-19,Kota Adm. Jakarta Timur,True
2021-02-18,Kota Adm. Jakarta Selatan,True
2021-02-17,Kota Adm. Jakarta Barat,True
2021-02-16,Kota Adm. Jakarta Barat,True
2021-02-08,Bogor,True
2021-02-08,Bogor,True
2021-02-08,Kota Adm. Jakarta Selatan,True
2021-02-08,Kota Adm. Jakarta Timur,True
2021-02-08,Bogor,True
2021-02-07,Kota Adm. Jakarta Selatan,True
2021-02-07,Kota Adm. Jakarta Timur,True
2021-02-07,Kota Adm. Jakarta Barat,True
2021-02-06,Kota Semarang,True
2021-02-03,Kota Adm. Jakarta Utara,True
2021-01-28,Pandeglang,True
2021-01-24,Kota Adm. Jakarta Timur,True
2021-01-19,Bogor,True
2021-01-17,Kota Semarang,True
2021-01-16,Bandung,True
2021-01-16,Bandung,True
2021-01-10,Bandung,True
2021-01-09,Bandung,True
2021-01-09,Bandung,True
2021-01-08,Kota Semarang,True
2021-01-01,Bogor,True
2020-12-30,Semarang,True
2020-12-24,Bandung,True
2020-12-24,Kota Bandung,True
2020-12-23,Bandung,True
2020-12-18,Kota Semarang,True
2020-12-14,Bandung,True
2020-12-07,Pandeglang,True
2020-12-06,Bogor,True
2020-12-06,Kota Adm. Jakarta Selatan,True
2020-12-06,Kota Adm. Jakarta Timur,True
2020-12-02,Kota Semarang,True
2020-12-02,Kota Semarang,True
2020-11-22,Pandeglang,True
2020-11-19,Kota Semarang,True
2020-11-14,Bogor,True
2020-11-07,Bogor,True
2020-11-01,Kota Adm. Jakarta Selatan,True
2020-11-01,Kota Adm. Jakarta Timur,True
2020-11-01,Kota Adm. Jakarta Utara,True
2020-10-31,Kota Semarang,True
2020-10-31,Kota Bogor,True
2020-10-28,Bogor,True
2020-10-25,Kota Adm. Jakarta Selatan,True
2020-10-25,Kota Adm. Jakarta Timur,True
2020-10-25,Bogor,True
2020-10-24,Bogor,True
2020-10-24,Bandung,True
2020-10-24,Kota Bogor,True
2020-10-23,Bogor,True
2020-10-20,Bogor,True
2020-10-20,Kota Bogor,True
2020-10-10,Kota Adm. Jakarta Selatan,True
2020-10-10,Kota Adm. Jakarta Timur,True
2020-10-10,Kota Adm. Jakarta Barat,True
2020-10-08,Bogor,True
2020-10-06,Bogor,True
